[WARNING] | 18:13:00 01-Apr-22 | main_retrain.py:421 | Time to run: 5.623854875564575
[WARNING] | 18:13:00 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:13:06 01-Apr-22 | main_retrain.py:421 | Time to run: 5.746438026428223
[WARNING] | 18:13:06 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:13:11 01-Apr-22 | main_retrain.py:421 | Time to run: 5.677958250045776
[WARNING] | 18:13:11 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:13:17 01-Apr-22 | main_retrain.py:421 | Time to run: 5.643322229385376
[WARNING] | 18:13:17 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:13:23 01-Apr-22 | main_retrain.py:421 | Time to run: 5.686010360717773
[WARNING] | 18:13:23 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:13:28 01-Apr-22 | main_retrain.py:421 | Time to run: 5.626981496810913
[WARNING] | 18:13:28 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:13:34 01-Apr-22 | main_retrain.py:421 | Time to run: 5.894995212554932
